JAVOR|MEDIAS|1,98|1,65
ATLANTE|SANTOS LAGUNA|2,06|1,60
QIZILQUM|SHORTAN|2,03|1,70
NASAF QARSHI|NAVBAHOR|2,29|1,55
OLMALIQ|KOKAND|1,80|1,90
SOGDIANA|BUXORO|2,19|1,60
BUNYODKOR|LOKOMOTIV|1,76|1,95
KVARNSVEDENS W|HAMMARBY W|2,37|1,45
ANGELHOLMS|ROSENGARD|2,37|1,45
MJALLBY|LJUNGSKILE|1,98|1,65
KARLSKRONA|LANDSKRONA|1,91|1,70
ODDEVOLD|OSKARSHAMNS|2,15|1,55
OREBRO SYR.|VARMDO|3,60|1,20
KARLSLUNDS|ASPUDDEN|2,70|1,35
STADE RENARD|COTONSPORT|1,36|2,90
VITEBSK|SLUTSK|1,53|2,35
CHILE|AUSTRALIA|2,55|1,45
GERMANY|CAMEROON|2,55|1,45
KRISTIANSTADS W|ESKILSTUNA W|1,60|2,05
FALKENBERG|SYRIANSKA|2,11|1,65
OSTERS|VARBERGS BOIS FC|1,96|1,75
IK FREJ|GAIS|1,85|1,85
QVIDING|KRISTIANSTAD|1,85|1,75
SANDVIKENS|NYKOPINGS|2,06|1,60
MAURITIUS|ANGOLA|1,55|2,30
ANZHI|ASTRA GIURGIU|1,85|1,85
GORODEYA|DINAMO BREST|1,55|2,30
TROMSO|SANDEFJORD|1,96|1,75
AALESUND|ODD GRENLAND|1,85|1,85
SARPSBORG 08|BRANN|1,76|1,95
STABAEK|KRISTIJANSUND|2,03|1,70
ROSENBORG|SOGNDAL|2,41|1,50
ASANE|FREDRIKSTAD|1,85|1,85
BODO|STROMMEN|2,70|1,40
KONGSVINGER|ELVERUM|2,19|1,60
SANDNES ULF|JERV|1,96|1,75
TROMSDALEN|LEVANGER|2,03|1,70
ULL KISA|RANHEIM|2,11|1,65
GRORUDDALEN|VALERENGA II|2,90|1,30
BRYNE|VARD HAUGESUND|2,25|1,50
REAL GARCILASO|CAJAMARCA|1,80|1,90
INNSBRUCK|DINAMO MOSCOW|1,98|1,65
LDU QUITO|EMELEC|1,69|2,05
NEMAN GRODNO|BATE BORISOV|1,69|2,05
MACARA|CLAN JUVENIL|1,85|1,85
AUCAS|OLMEDO|1,76|1,95
IBV|HAFNARFJORDUR|1,96|1,75
DOUGLAS|ALMAGRO|1,41|2,70
YPIRANGA|TOMBENSE|1,53|2,35
VIKING|HAUGESUND|1,90|1,80
CERRO|SUD AMERICA|1,96|1,75
BOSTON RIVER|EL TANQUE SISLEY|1,80|1,90
DEFENSOR SPORTING|LIVERPOOL M.|1,85|1,85
WANDERERS|RIVER M.|1,90|1,80
SPORT HUANCAYO|UNIVERSITARIO|1,90|1,80
BARCELONA II|SANTANDER|2,70|1,40
VILLA DALMINE|FERRO OESTE|1,41|2,70
SAMPAIO CORREA|SALGUEIRO PE|1,69|2,05
ALBACETE|VALENCIA II|1,55|2,30
ESTUDIANTES S.L.|CORDOBA C.|1,60|2,20
THE STRONGEST|SPORTS BOYS WARNES|3,20|1,30
UNIVERSITARIO|BOLIVAR|2,41|1,50
PONTE PRETA|PALMEIRAS|1,62|2,15
GREMIO|CORINTHIANS|1,62|2,15
CRUZEIRO|CORITIBA|1,62|2,15
SAO PAULO|FLUMINENSE|1,90|1,80
ATLETICO PR|VITORIA|1,72|2,00
BOCA JUNIORS|UNION SANTA FE|2,29|1,55
SAN MARTIN T.|IND.RIVADAVIA|1,69|2,05
ATLETICO RAFAELA|SARMIENTO|1,80|1,90
CRUCERO|BOKA UNIDOS|1,41|2,70
CUIABA|ASA|1,60|2,20
ALIANZA LIMA|SPORT ROSARIO|1,72|2,00
NACIONAL M.|JUVENTUD L.P.|1,90|1,80
ORIENTE PETROLERO|NACIONAL POTOSI|2,55|1,45
BAHIA|FLAMENGO|1,90|1,80
CHAPECOENSE|ATLETICO MINEIRO|1,96|1,75
B.GUAYAQUIL|DELFIN|1,85|1,85
JACKSONVILLE|PUERTO RICO FC|1,96|1,75
BANFIELD|RACING CLUB|1,76|1,95
MONAGAS|CARACAS|1,62|2,15
COLON|RIVER PLATE|1,76|1,95
PORTLAND|SEATTLE|2,11|1,65
INCHEON W|HWACHEON W|2,11|1,65
KINGSTON CITY|PASCOE|1,98|1,65
